time,Ax,Ay,Az,A_mag,label
2025-11-10T23:45:37.198296,0.9666616446093508,-0.117900215350745,0.2417558266928321,1.0033848093720283,1
2025-11-10T23:45:40.031083,0.964186779996182,-0.1082069116466222,0.234643771055531,0.9982096882632758,1
2025-11-10T23:45:43.619390,0.9760187449662582,-0.0743963943551416,0.2322060139849782,1.0060154307709934,1
2025-11-10T23:45:53.023057,0.221616648785446,-0.4329165790392005,0.842158036387485,0.9725023710397422,-1
2025-11-10T23:45:55.666934,0.2091431332395431,-0.4143234440620909,0.8524256564201192,0.9705844971994954,-1
2025-11-10T23:46:04.998712,-0.0754823517500165,0.1664162294027653,0.9543375968933104,0.971674943424212,-2
2025-11-10T23:46:07.192322,-0.0488406539736117,0.2178262662380299,0.9418779434041774,0.967970945852743,-2
2025-11-10T23:48:44.985809,-0.0399807173328228,-0.2681203093731178,0.9257399619750256,0.964614656354705,-1
2025-11-10T23:48:47.833973,-0.0375851798276214,-0.2628261045269344,0.930164388988329,0.9673138050837014,-1
2025-11-10T23:48:50.441426,-0.0289272353781954,-0.263392457495565,0.9339416843393574,0.970803502959695,-1
2025-11-10T23:48:59.532824,-0.0522133813381357,0.1588444039225578,0.9580782651901244,0.9725593781759512,-2
2025-11-10T23:49:01.839061,-0.0472319720859598,0.1504575022212837,0.9576385539510976,0.9705358927805532,-2
2025-11-10T23:49:03.923729,-0.0561477630196706,0.1747578735584798,0.9510905315046724,0.96864136024673,-2
